key,sl_no,source_row,boq_group,at_sales_cloud,in_sales_cloud,ramco_erp,rdso,description,uom,markers,duplicate_code,driver_type,driver_ref,driver_label,driver_formula,qty_abs,qty_yard,qty_total
BD004,1,4,,14393,,,,Invoice Amount Of Billing of goods for sales,,,,none,,,,0,0,0
BD005,2,5,,23320,102207,102207,23320,Wheel sensor RSR180-001 GS05 5m cable,Nos,,,gesamt,Gesamt!row 5,Wheel sensor RSR180,=Gesamt!C5,176,374,550
BD006,3,6,,23529,101879,101879,23529,Wheel sensor RSR180-001 GS05 10m cable,Nos,,,none,,,,0,0,0
BD007,4,7,,23531,102139,102139,23531,Wheel sensor RSR180-001 GS05 15m cable,Nos,,,none,,,,0,0,0
BD008,5,8,,100605,100605,100605,,IN Protection tube 4.8m,Nos,,,derived_from_parts,BD005,,=H5,176,374,550
BD009,6,9,,100609,100609,100609,,IN Protection tube 9.8m,Nos,,,derived_from_parts,BD006,,=H6,0,0,0
BD010,7,10,,102423,102423,102423,,IN Protection tube 14.8 m,Nos,,,derived_from_parts,BD007,,=H7,0,0,0
BD011,8,11,,102411,102411,102411,,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Nos,,,derived_from_parts,"BD005, BD006, BD007",,=H5+H6+H7,176,374,550
BD012,9,12,,21345,101059,101059,,Rail Claw SK140-010 GS02 RM-METRO,Nos,,,none,,,,0,0,0
BD013,10,13,,100534,100534,100534,IN-19813,IN Rail claw plate SK140-011 (60kg),Nos,,,derived_from_parts,"BD005, BD006, BD007",,=H5+H6+H7,176,374,550
BD014,11,14,,100535,100535,100535,IN-19814,IN Rail claw plate SK140-012 (52kg),Nos,,,none,,,,0,0,0
BD015,12,15,,101431,101431,101431,,IN Clamping bolt BBIK M12-22 GS02,Pair,,,derived_from_parts,"BD005, BD006, BD007",,=H5+H6+H7,176,374,550
BD016,13,16,,101432,101432,101432,,IN Clamping bolt BBIK M12-17.5 GS02,Nos,,,none,,,,0,0,0
BD017,14,17,Outdoor,100004,100004,100004,IN-PC0101,Track lead junction box TLJB-01,Nos,,,derived_from_parts,"BD005, BD006, BD007",,=H5+H6+H7,176,374,550
BD018,15,18,,101950,101950,101950,,IN Frauscher Rail Deflector FRD001 GS02 60kg,Pair,,,derived_from_parts,"BD005, BD006, BD007",,=H5+H6+H7,176,374,550
BD019,16,19,Outdoor,102763,102763,102763,,Strain relief clamp SRC-IN Make,Nos,,,derived_from_parts,"BD005, BD006, BD007",,=H5+H6+H7,176,374,550
BD020,17,20,,13338,101151,101151,,Clamping bolt BBK22 1.7227-(METRO+FOREIGN),Nos,,,none,,,,0,0,0
BD021,18,21,,13393,101152,101152,,Clamping bolt BBK17.5 1.7227-(METRO+FOREIGN),Nos,,,none,,,,0,0,0
BD022,19,22,,14227,100859,100859,,Clamping bolt BBK11 1.7227 (FOREIGN),Nos,,,none,,,,0,0,0
BD023,20,23,Outdoor,100008,100008,100008,IN_PC0109,Line Verification Box LVB-01,Nos,,,none,,,,0,0,0
BD024,21,24,,20865,100386,100386,,Advanced service display ASD101 GS01,Nos,,,none,,,,0,0,0
BD025,22,25,,100328,100328,100328,,TOOL KIT - 01 Main line with BBIK M12 GS02-ML,Nos,,,none,,,,0,0,0
BD026,23,26,,100583,100583,100583,,TOOL KIT - 02 Main line with BBK-METRO-BALLAST,Nos,,,none,,,,0,0,0
BD027,24,27,,100584,100584,100584,,TOOL KIT - 03 Metro with BBK-METRO VIA DUCT,Nos,,,none,,,,0,0,0
BD028,25,28,,102480,102480,102480,,Multimeter - compact true-rms meter-Fluke,Nos,,,none,,,,0,0,0
BD029,26,29,,100418,100418,100418,,Multimeter - compact true-rms meter-Sanwa,Nos,,,none,,,,0,0,0
BD030,27,30,,24627,101770,101770,IN_24627,Testing plate PB200-TS GS01,Nos,,,none,,,,0,0,0
