key,description,project,location_col,location_index,location,qty
BD005,Wheel sensor RSR180-001 GS05 5m cable,ABS,H,1,Jaipur JN,4
BD005,Wheel sensor RSR180-001 GS05 5m cable,ABS,I,2,ALH-1,24
BD005,Wheel sensor RSR180-001 GS05 5m cable,ABS,J,3,Durgapura,16
BD005,Wheel sensor RSR180-001 GS05 5m cable,ABS,K,4,Sanganer,16
BD005,Wheel sensor RSR180-001 GS05 5m cable,ABS,L,5,ALH-2,40
BD005,Wheel sensor RSR180-001 GS05 5m cable,ABS,M,6,ALH-3,40
BD005,Wheel sensor RSR180-001 GS05 5m cable,ABS,N,7,ALH-4,32
BD005,Wheel sensor RSR180-001 GS05 5m cable,ABS,O,8,Sheodaspura,4
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,H,1,Chaksu,31
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,I,2,Channani,30
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,J,3,Banasthali,39
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,K,4,Sirsa,30
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,L,5,Irsada,39
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,M,6,Chauth,31
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,N,7,Devpura Acc-1,22
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,O,8,Devpura Acc-2,29
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,P,9,Snaganer Acc-1,21
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,Q,10,Devpura Acc-2,27
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,R,11,Sheodaspura,30
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,S,12,Durgapur Acc-1,19
BD005,Wheel sensor RSR180-001 GS05 5m cable,Yard,T,13,Durgapur Acc-2,26
BD008,IN Protection tube 4.8m,ABS,H,1,Jaipur JN,4
BD008,IN Protection tube 4.8m,ABS,I,2,ALH-1,24
BD008,IN Protection tube 4.8m,ABS,J,3,Durgapura,16
BD008,IN Protection tube 4.8m,ABS,K,4,Sanganer,16
BD008,IN Protection tube 4.8m,ABS,L,5,ALH-2,40
BD008,IN Protection tube 4.8m,ABS,M,6,ALH-3,40
BD008,IN Protection tube 4.8m,ABS,N,7,ALH-4,32
BD008,IN Protection tube 4.8m,ABS,O,8,Sheodaspura,4
BD008,IN Protection tube 4.8m,Yard,H,1,Chaksu,31
BD008,IN Protection tube 4.8m,Yard,I,2,Channani,30
BD008,IN Protection tube 4.8m,Yard,J,3,Banasthali,39
BD008,IN Protection tube 4.8m,Yard,K,4,Sirsa,30
BD008,IN Protection tube 4.8m,Yard,L,5,Irsada,39
BD008,IN Protection tube 4.8m,Yard,M,6,Chauth,31
BD008,IN Protection tube 4.8m,Yard,N,7,Devpura Acc-1,22
BD008,IN Protection tube 4.8m,Yard,O,8,Devpura Acc-2,29
BD008,IN Protection tube 4.8m,Yard,P,9,Snaganer Acc-1,21
BD008,IN Protection tube 4.8m,Yard,Q,10,Devpura Acc-2,27
BD008,IN Protection tube 4.8m,Yard,R,11,Sheodaspura,30
BD008,IN Protection tube 4.8m,Yard,S,12,Durgapur Acc-1,19
BD008,IN Protection tube 4.8m,Yard,T,13,Durgapur Acc-2,26
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,ABS,H,1,Jaipur JN,4
